attribute,value,source,comment
name,Crude Oil,,
energycontent_LHV,40458.6583463339 Btu/kg,Wang-2023,calculated from values Energy/volume and density given in the source
energycontent_HHV,43166.9266770671 Btu/kg,Wang-2023,calculated from values Energy/volume and density given in the source
density_norm,3205 g/gal,Wang-2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
density_std,3205 g/gal,Wang-2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
c_ratio,0.853,Wang-2023,
